 provincia de nacimiento,Se siente satisfecho con las condiciones en las que vive en su provincia,Para cual provincia desearí­a emigrar,Actualmente se encuentra viviendo en su provincia natal ,Por que tomaria  la decisión de emigrar hacia otra provincia
La Habana,"No me siento tan comodo, deseari­a un lugar con mejores oportunidades de estudio y de trabajo",Matanzas,Si,En otra provincia tuviera mejores ofertas de empleo
La Habana,"Si,  mi familia tiene un negocio y ayuda del exterior",Ninguna,Si,
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
La Habana,"No me siento tan comodo, deseari­a un lugar con mejores oportunidades de estudio y de trabajo",Ninguna,Si,
Matanzas,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",La Habana,"No, emigre hacia otra provincia",La carrera que escogí se estudia en otra provincia
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
La Habana,"Si,  mi familia tiene un negocio y ayuda del exterior",Ninguna,Si,
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
Matanzas,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",La Habana,Si,La carrera que escogí se estudia en otra provincia
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",La Habana,Si,La carrera que escogí se estudia en otra provincia
Matanzas,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,La carrera que escogí se estudia en otra provincia
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,La carrera que escogí­ se estudia en otra provincia
Santiago de Cuba,"Si,  mi familia tiene un negocio y ayuda del exterior",Ninguna,Si,Tengo una enfermedad y en mi provincia los hospitales me quedan muy lejos
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,La carrera que escogí­ se estudia en otra provincia
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,En otra provincia tuviera mejores ofertas de empleo
Santiago de Cuba,"No me siento tan comodo, desearia un lugar con mejores oportunidades de estudio y de trabajo",La Habana,"No, emigre hacia otra provincia",Casi toda mi familia vive en otra provincia
La Habana,Quisiera irme para otra provincia,La Habana,Si,
La Habana,"No me siento tan comodo, deseari­a un lugar con mejores oportunidades de estudio y de trabajo",La Habana,Si,
Guantanamo,Quisiera irme para otra provincia,La Habana,"No, emigre hacia otra provincia",La carrera que escogÃ­ se estudia en otra provincia
La Habana,Quisiera irme para otra provincia,Matanzas,Si,La carrera que escogÃ­ se estudia en otra provincia
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
Matanzas,"Si,  mi familia tiene un negocio y ayuda del exterior",La Habana,Si,La carrera que escogÃ­ se estudia en otra provincia
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,No,
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
Santiago de Cuba,"No me siento tan comodo, deseari­a un lugar con mejores oportunidades de estudio y de trabajo",Ninguna,No,
Guantanamo,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
La Habana,"No me siento tan comodo, desearia un lugar con mejores oportunidades de estudio y de trabajo",Ninguna,Si,
Ninguna de las anteriores,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
La Habana,"No me siento tan comodo, deseari­a un lugar con mejores oportunidades de estudio y de trabajo",Ninguna,Si,
Guantanamo,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
Guantanamo,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
La Habana,"Si, mis padres trabajan y llevamos una vida  comoda a pesar de las circunstancias",Ninguna,Si,
